gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,day,month,year,speciesKey
3038642467,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.747141,0.646362,1/7/2019 0:00,1,7,2019,5212973
3038642439,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.724982,-3.44666,24/5/2016 0:00,24,5,2016,5212973
3038642375,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,53.799237,-0.719021,11/7/2013 0:00,11,7,2013,5212973
3038642311,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.918719,0.608076,21/9/2016 0:00,21,9,2016,5212973
3038642305,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.461752,-2.629013,27/8/2013 0:00,27,8,2013,5212973
3038642292,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.738812,-4.63358,5/6/2014 0:00,5,6,2014,5212973
3038642274,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.89439,-0.314564,3/9/2012 0:00,3,9,2012,5212973
3038642273,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.179476,-2.80188,25/6/2019 0:00,25,6,2019,5212973
3038642240,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.591972,0.238836,25/5/2012 0:00,25,5,2012,5212973
3038642216,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,55.399679,-1.659027,7/10/2013 0:00,7,10,2013,5212973
3038642129,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.649314,-2.751286,17/7/2013 0:00,17,7,2013,5212973
3038642103,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,52.320325,-0.001965,2/5/2013 0:00,2,5,2013,5212973
3038642087,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.416626,-4.520581,16/7/2014 0:00,16,7,2014,5212973
3038642075,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,52.951077,0.928047,8/6/2017 0:00,8,6,2017,5212973
3038642074,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.341377,-4.804676,14/6/2018 0:00,14,6,2018,5212973
3038641970,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.013175,-0.499538,21/8/2013 0:00,21,8,2013,5212973
3038641863,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,52.275468,0.291391,23/6/2014 0:00,23,6,2014,5212973
3038641838,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,53.011902,-1.760026,24/9/2015 0:00,24,9,2015,5212973
3038641826,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.46697,-0.341063,11/10/2016 0:00,11,10,2016,5212973
3038641817,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,55.547155,-2.01094,15/8/2014 0:00,15,8,2014,5212973
3038641771,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.052411,-5.638305,31/5/2018 0:00,31,5,2018,5212973
3038641756,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.190044,-2.592267,15/7/2013 0:00,15,7,2013,5212973
3038641747,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.659573,-3.304298,11/9/2017 0:00,11,9,2017,5212973
3038641743,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.986922,0.760503,18/7/2017 0:00,18,7,2017,5212973
